"Name","batch_size","learning_rate","neurons_FC1","neurons_FC2","optimizer","val_acc"
"stoic-sweep-10","32","0.001","512","256","sgd","0.45840001106262207"
"wobbly-sweep-9","32","0.001","512","256","sgd","0.45019999146461487"
"different-sweep-8","32","0.001","512","256","sgd","0.4744000136852264"
"fresh-sweep-7","32","0.001","512","256","sgd","0.4496000111103058"
"vague-sweep-6","32","0.001","512","256","sgd","0.451200008392334"
"autumn-sweep-5","32","0.001","512","256","sgd","0.4311999976634979"
"peachy-sweep-4","32","0.001","512","256","sgd","0.49880000948905945"
"resilient-sweep-3","32","0.00001","512","128","sgd","0.0982000008225441"
"crimson-sweep-2","32","0.001","256","128","sgd","0.4440000057220459"
"legendary-sweep-1","64","0.00001","512","256","sgd","0.10159999877214432"
