"Step","stoic-sweep-10 - train_acc_step","stoic-sweep-10 - train_acc_step__MIN","stoic-sweep-10 - train_acc_step__MAX","wobbly-sweep-9 - train_acc_step","wobbly-sweep-9 - train_acc_step__MIN","wobbly-sweep-9 - train_acc_step__MAX","different-sweep-8 - train_acc_step","different-sweep-8 - train_acc_step__MIN","different-sweep-8 - train_acc_step__MAX","fresh-sweep-7 - train_acc_step","fresh-sweep-7 - train_acc_step__MIN","fresh-sweep-7 - train_acc_step__MAX","vague-sweep-6 - train_acc_step","vague-sweep-6 - train_acc_step__MIN","vague-sweep-6 - train_acc_step__MAX","autumn-sweep-5 - train_acc_step","autumn-sweep-5 - train_acc_step__MIN","autumn-sweep-5 - train_acc_step__MAX","peachy-sweep-4 - train_acc_step","peachy-sweep-4 - train_acc_step__MIN","peachy-sweep-4 - train_acc_step__MAX","resilient-sweep-3 - train_acc_step","resilient-sweep-3 - train_acc_step__MIN","resilient-sweep-3 - train_acc_step__MAX","crimson-sweep-2 - train_acc_step","crimson-sweep-2 - train_acc_step__MIN","crimson-sweep-2 - train_acc_step__MAX","legendary-sweep-1 - train_acc_step","legendary-sweep-1 - train_acc_step__MIN","legendary-sweep-1 - train_acc_step__MAX"
"1","0.0625","0.0625","0.0625","0.125","0.125","0.125","0.09375","0.09375","0.09375","0.09375","0.09375","0.09375","0.125","0.125","0.125","0.0625","0.0625","0.0625","0.125","0.125","0.125","0.125","0.125","0.125","0.0625","0.0625","0.0625","0.046875","0.046875","0.046875"
"2","0.125","0.125","0.125","0.0625","0.0625","0.0625","0.15625","0.15625","0.15625","0.25","0.25","0.25","0.15625","0.15625","0.15625","0.0625","0.0625","0.0625","0.0625","0.0625","0.0625","0.125","0.125","0.125","0.09375","0.09375","0.09375","0.109375","0.109375","0.109375"
"3","0.125","0.125","0.125","0.03125","0.03125","0.03125","0.09375","0.09375","0.09375","0.03125","0.03125","0.03125","0.125","0.125","0.125","0.125","0.125","0.125","0.0625","0.0625","0.0625","0.15625","0.15625","0.15625","0.125","0.125","0.125","0.09375","0.09375","0.09375"
"4","0.21875","0.21875","0.21875","0.09375","0.09375","0.09375","0.03125","0.03125","0.03125","0.125","0.125","0.125","0.09375","0.09375","0.09375","0.125","0.125","0.125","0","0","0","0.15625","0.15625","0.15625","0.0625","0.0625","0.0625","0.125","0.125","0.125"
"5","0.0625","0.0625","0.0625","0.125","0.125","0.125","0.15625","0.15625","0.15625","0.15625","0.15625","0.15625","0.09375","0.09375","0.09375","0.0625","0.0625","0.0625","0","0","0","0.0625","0.0625","0.0625","0.09375","0.09375","0.09375","0.0625","0.0625","0.0625"
"6","0.125","0.125","0.125","0.09375","0.09375","0.09375","0.125","0.125","0.125","0","0","0","0.125","0.125","0.125","0.125","0.125","0.125","0.125","0.125","0.125","0.21875","0.21875","0.21875","0.1875","0.1875","0.1875","0.046875","0.046875","0.046875"
"7","0.125","0.125","0.125","0.03125","0.03125","0.03125","0.03125","0.03125","0.03125","0.15625","0.15625","0.15625","0.09375","0.09375","0.09375","0.0625","0.0625","0.0625","0.0625","0.0625","0.0625","0.15625","0.15625","0.15625","0.0625","0.0625","0.0625","0.140625","0.140625","0.140625"
"8","0.15625","0.15625","0.15625","0.125","0.125","0.125","0.0625","0.0625","0.0625","0.15625","0.15625","0.15625","0.09375","0.09375","0.09375","0.03125","0.03125","0.03125","0.21875","0.21875","0.21875","0.09375","0.09375","0.09375","0.09375","0.09375","0.09375","0.09375","0.09375","0.09375"
"9","0.03125","0.03125","0.03125","0.09375","0.09375","0.09375","0.0625","0.0625","0.0625","0.09375","0.09375","0.09375","0.125","0.125","0.125","0.03125","0.03125","0.03125","0.0625","0.0625","0.0625","0.125","0.125","0.125","0.125","0.125","0.125","0.140625","0.140625","0.140625"
"10","0.125","0.125","0.125","0","0","0","0.15625","0.15625","0.15625","0.15625","0.15625","0.15625","0.0625","0.0625","0.0625","0.0625","0.0625","0.0625","0.125","0.125","0.125","0.21875","0.21875","0.21875","0.1875","0.1875","0.1875","0.109375","0.109375","0.109375"
"11","0.09375","0.09375","0.09375","0.1875","0.1875","0.1875","0.09375","0.09375","0.09375","0.125","0.125","0.125","0.0625","0.0625","0.0625","0.0625","0.0625","0.0625","0.03125","0.03125","0.03125","0.0625","0.0625","0.0625","0.09375","0.09375","0.09375","0.09375","0.09375","0.09375"
"12","0.0625","0.0625","0.0625","0","0","0","0.09375","0.09375","0.09375","0.125","0.125","0.125","0.09375","0.09375","0.09375","0.0625","0.0625","0.0625","0.09375","0.09375","0.09375","0.03125","0.03125","0.03125","0.03125","0.03125","0.03125","0.203125","0.203125","0.203125"
"13","0.125","0.125","0.125","0.09375","0.09375","0.09375","0","0","0","0.0625","0.0625","0.0625","0.0625","0.0625","0.0625","0.09375","0.09375","0.09375","0.09375","0.09375","0.09375","0.125","0.125","0.125","0.21875","0.21875","0.21875","0.15625","0.15625","0.15625"
"14","0.0625","0.0625","0.0625","0.09375","0.09375","0.09375","0.15625","0.15625","0.15625","0.15625","0.15625","0.15625","0.09375","0.09375","0.09375","0.03125","0.03125","0.03125","0.03125","0.03125","0.03125","0.09375","0.09375","0.09375","0.0625","0.0625","0.0625","0.0625","0.0625","0.0625"
"15","0.09375","0.09375","0.09375","0.15625","0.15625","0.15625","0.1875","0.1875","0.1875","0","0","0","0.125","0.125","0.125","0.15625","0.15625","0.15625","0.125","0.125","0.125","0.0625","0.0625","0.0625","0.15625","0.15625","0.15625","","",""
"16","0.15625","0.15625","0.15625","0.0625","0.0625","0.0625","0.09375","0.09375","0.09375","0.21875","0.21875","0.21875","0.21875","0.21875","0.21875","0.03125","0.03125","0.03125","0.0625","0.0625","0.0625","0.0625","0.0625","0.0625","0.15625","0.15625","0.15625","","",""
"17","0.09375","0.09375","0.09375","0.09375","0.09375","0.09375","0.15625","0.15625","0.15625","0.21875","0.21875","0.21875","0.03125","0.03125","0.03125","0.15625","0.15625","0.15625","0.09375","0.09375","0.09375","0.125","0.125","0.125","0.09375","0.09375","0.09375","","",""
"18","0.1875","0.1875","0.1875","0.0625","0.0625","0.0625","0.09375","0.09375","0.09375","0.1875","0.1875","0.1875","0.0625","0.0625","0.0625","0.0625","0.0625","0.0625","0.15625","0.15625","0.15625","0.09375","0.09375","0.09375","0.25","0.25","0.25","0.15625","0.15625","0.15625"
"19","0.09375","0.09375","0.09375","0.09375","0.09375","0.09375","0.09375","0.09375","0.09375","0.0625","0.0625","0.0625","0.09375","0.09375","0.09375","0.125","0.125","0.125","0.09375","0.09375","0.09375","0.0625","0.0625","0.0625","0.1875","0.1875","0.1875","0.046875","0.046875","0.046875"
"20","0.125","0.125","0.125","0.0625","0.0625","0.0625","0.03125","0.03125","0.03125","0.125","0.125","0.125","0.1875","0.1875","0.1875","0.125","0.125","0.125","0.15625","0.15625","0.15625","0.15625","0.15625","0.15625","0.15625","0.15625","0.15625","0.09375","0.09375","0.09375"
