"Step","stoic-sweep-10 - train_loss_step","stoic-sweep-10 - train_loss_step__MIN","stoic-sweep-10 - train_loss_step__MAX","wobbly-sweep-9 - train_loss_step","wobbly-sweep-9 - train_loss_step__MIN","wobbly-sweep-9 - train_loss_step__MAX","different-sweep-8 - train_loss_step","different-sweep-8 - train_loss_step__MIN","different-sweep-8 - train_loss_step__MAX","fresh-sweep-7 - train_loss_step","fresh-sweep-7 - train_loss_step__MIN","fresh-sweep-7 - train_loss_step__MAX","vague-sweep-6 - train_loss_step","vague-sweep-6 - train_loss_step__MIN","vague-sweep-6 - train_loss_step__MAX","autumn-sweep-5 - train_loss_step","autumn-sweep-5 - train_loss_step__MIN","autumn-sweep-5 - train_loss_step__MAX","peachy-sweep-4 - train_loss_step","peachy-sweep-4 - train_loss_step__MIN","peachy-sweep-4 - train_loss_step__MAX","resilient-sweep-3 - train_loss_step","resilient-sweep-3 - train_loss_step__MIN","resilient-sweep-3 - train_loss_step__MAX","crimson-sweep-2 - train_loss_step","crimson-sweep-2 - train_loss_step__MIN","crimson-sweep-2 - train_loss_step__MAX","legendary-sweep-1 - train_loss_step","legendary-sweep-1 - train_loss_step__MIN","legendary-sweep-1 - train_loss_step__MAX"
"1","2.3078863620758057","2.3078863620758057","2.3078863620758057","2.3024849891662598","2.3024849891662598","2.3024849891662598","2.3111186027526855","2.3111186027526855","2.3111186027526855","2.3028039932250977","2.3028039932250977","2.3028039932250977","2.3048009872436523","2.3048009872436523","2.3048009872436523","2.303402900695801","2.303402900695801","2.303402900695801","2.3048548698425293","2.3048548698425293","2.3048548698425293","2.296328067779541","2.296328067779541","2.296328067779541","2.306342840194702","2.306342840194702","2.306342840194702","2.3046231269836426","2.3046231269836426","2.3046231269836426"
"2","2.2985548973083496","2.2985548973083496","2.2985548973083496","2.29913067817688","2.29913067817688","2.29913067817688","2.305661201477051","2.305661201477051","2.305661201477051","2.2998809814453125","2.2998809814453125","2.2998809814453125","2.299743413925171","2.299743413925171","2.299743413925171","2.312335968017578","2.312335968017578","2.312335968017578","2.3141050338745117","2.3141050338745117","2.3141050338745117","2.3036575317382812","2.3036575317382812","2.3036575317382812","2.302039861679077","2.302039861679077","2.302039861679077","2.3047983646392822","2.3047983646392822","2.3047983646392822"
"3","2.2922298908233643","2.2922298908233643","2.2922298908233643","2.305914878845215","2.305914878845215","2.305914878845215","2.296327829360962","2.296327829360962","2.296327829360962","2.3078341484069824","2.3078341484069824","2.3078341484069824","2.3028860092163086","2.3028860092163086","2.3028860092163086","2.3124778270721436","2.3124778270721436","2.3124778270721436","2.3115484714508057","2.3115484714508057","2.3115484714508057","2.308257818222046","2.308257818222046","2.308257818222046","2.303461790084839","2.303461790084839","2.303461790084839","2.307382822036743","2.307382822036743","2.307382822036743"
"4","2.299473285675049","2.299473285675049","2.299473285675049","2.302236318588257","2.302236318588257","2.302236318588257","2.3046419620513916","2.3046419620513916","2.3046419620513916","2.2987256050109863","2.2987256050109863","2.2987256050109863","2.311854362487793","2.311854362487793","2.311854362487793","2.299741268157959","2.299741268157959","2.299741268157959","2.3062379360198975","2.3062379360198975","2.3062379360198975","2.3020763397216797","2.3020763397216797","2.3020763397216797","2.3022818565368652","2.3022818565368652","2.3022818565368652","2.3054730892181396","2.3054730892181396","2.3054730892181396"
"5","2.3042261600494385","2.3042261600494385","2.3042261600494385","2.2960751056671143","2.2960751056671143","2.2960751056671143","2.2989046573638916","2.2989046573638916","2.2989046573638916","2.302736759185791","2.302736759185791","2.302736759185791","2.299241781234741","2.299241781234741","2.299241781234741","2.3009986877441406","2.3009986877441406","2.3009986877441406","2.3155875205993652","2.3155875205993652","2.3155875205993652","2.3016114234924316","2.3016114234924316","2.3016114234924316","2.304231882095337","2.304231882095337","2.304231882095337","2.3074498176574707","2.3074498176574707","2.3074498176574707"
"6","2.298754930496216","2.298754930496216","2.298754930496216","2.3143210411071777","2.3143210411071777","2.3143210411071777","2.2987687587738037","2.2987687587738037","2.2987687587738037","2.3055918216705322","2.3055918216705322","2.3055918216705322","2.304780960083008","2.304780960083008","2.304780960083008","2.3025670051574707","2.3025670051574707","2.3025670051574707","2.300302505493164","2.300302505493164","2.300302505493164","2.292593002319336","2.292593002319336","2.292593002319336","2.298341751098633","2.298341751098633","2.298341751098633","2.3038177490234375","2.3038177490234375","2.3038177490234375"
"7","2.309969186782837","2.309969186782837","2.309969186782837","2.304140329360962","2.304140329360962","2.304140329360962","2.3059020042419434","2.3059020042419434","2.3059020042419434","2.295121669769287","2.295121669769287","2.295121669769287","2.3070261478424072","2.3070261478424072","2.3070261478424072","2.3013229370117188","2.3013229370117188","2.3013229370117188","2.3037068843841553","2.3037068843841553","2.3037068843841553","2.2986509799957275","2.2986509799957275","2.2986509799957275","2.3029046058654785","2.3029046058654785","2.3029046058654785","2.2934248447418213","2.2934248447418213","2.2934248447418213"
"8","2.3032946586608887","2.3032946586608887","2.3032946586608887","2.302629232406616","2.302629232406616","2.302629232406616","2.3004543781280518","2.3004543781280518","2.3004543781280518","2.302990674972534","2.302990674972534","2.302990674972534","2.309922695159912","2.309922695159912","2.309922695159912","2.306394100189209","2.306394100189209","2.306394100189209","2.2990872859954834","2.2990872859954834","2.2990872859954834","2.2987899780273438","2.2987899780273438","2.2987899780273438","2.3035659790039062","2.3035659790039062","2.3035659790039062","2.3021364212036133","2.3021364212036133","2.3021364212036133"
"9","2.3097822666168213","2.3097822666168213","2.3097822666168213","2.3048899173736572","2.3048899173736572","2.3048899173736572","2.3042283058166504","2.3042283058166504","2.3042283058166504","2.2996985912323","2.2996985912323","2.2996985912323","2.3070437908172607","2.3070437908172607","2.3070437908172607","2.3036322593688965","2.3036322593688965","2.3036322593688965","2.303410053253174","2.303410053253174","2.303410053253174","2.2993881702423096","2.2993881702423096","2.2993881702423096","2.306143283843994","2.306143283843994","2.306143283843994","2.29929518699646","2.29929518699646","2.29929518699646"
"10","2.303400993347168","2.303400993347168","2.303400993347168","2.302865982055664","2.302865982055664","2.302865982055664","2.3037045001983643","2.3037045001983643","2.3037045001983643","2.3070590496063232","2.3070590496063232","2.3070590496063232","2.3006505966186523","2.3006505966186523","2.3006505966186523","2.3059487342834473","2.3059487342834473","2.3059487342834473","2.297624111175537","2.297624111175537","2.297624111175537","2.3011224269866943","2.3011224269866943","2.3011224269866943","2.2970032691955566","2.2970032691955566","2.2970032691955566","2.3052403926849365","2.3052403926849365","2.3052403926849365"
